# Первоубиенный и лучший ход исторических игр, снятые с mafiauniverse (сентябрь 2026).
# Импорт истории принёс только ник/место/роль/итог, а ПУ и ЛХ там есть — без них у легаси-игр
# не считались ЛХ, Ci, «точность ЛХ», ачивки и рекорды.
#
# Формат: источник|дата|номер игры в источнике|место ПУ|места ЛХ|бонус ЛХ у них|ники по местам 1..10
# Состав стола — главный ключ сопоставления: дата и номер игры у источника и у нас могли разойтись
# (855 залит одной датой, у ночных игр дата зависит от часового пояса), а состав по местам
# совпадает однозначно. Дата — как в списке игр mafiauniverse (по ней собирался импорт вечеров).
# Бонус пустой — ЛХ не принёс очков. Игры без первоубиенного сюда не попали.
#
# 855 — Сезон 2022/2023; 893 — Сезон 2023/2024; 1355 — Стол для обучения и отдыха 2023/2024;
# 3557 — Сезон 2024/2025.
893|2023-11-26|84|8|2,7,9||Вито Скаллета;Дед;Hikaru;Вельзевул;Лучик;Чай;Кауфман;Деканат;Олимпия;осиновый кол
893|2023-11-26|83|5|2,3,9|0.25|Вито Скаллета;Hikaru;Деканат;Дед;Амберман;Лучик;осиновый кол;Чай;Олимпия;Синабон
893|2023-11-26|82|4|6,9,1||Лучик;Амберман;Чай;осиновый кол;Олимпия;Синабон;Дед;Shitoff;Hikaru;Деканат
893|2023-11-26|80|3|4,7,9||Вельзевул;Пожилая скумбрия;Rainbow;Шмоки Мола;Синабон;Дед;fate;Леди в шляпе;Деканат;Тайса
893|2023-11-26|78|4|3,5,1|0.25|Асмодея;Фederal🐙;Лиса;Реактив;Инопланетянка;Rainbow;Интроверт 🌈;Кауфман;НЕ_ЛИС;Вельзевул
893|2023-11-25|75|2|5,7,1||Кауфман;НЕ_ЛИС;Инопланетянка;Интроверт 🌈;полинка эдельвейс 雨;осиновый кол;Фederal🐙;Асмодея;Лиса;Рождество
893|2023-11-25|74|10|7,8,9||fate;Инопланетянка;Тайса;Рождество;Деканат;полинка эдельвейс 雨;Асмодея;Кауфман;осиновый кол;Бант.
893|2023-11-19|73|8|3,6,9||Рождество;осиновый кол;Вельзевул;Синабон;Деканат;Чай;Троцкист;Буханка;Дровосек;Лучик
893|2023-11-19|72|3|2,5,9||Чай;Синабон;Дровосек;Буханка;осиновый кол;Лучик;Вельзевул;Троцкист;fate;Дед
893|2023-11-19|71|5|7,1||Буханка;fate;Чай;Вельзевул;Деканат;Синабон;Дед;Троцкист;Лучик;осиновый кол
893|2023-11-19|70|10|3,5,6||fate;Rainbow;Деканат;Рождество;Асмодея;Чай;Фederal🐙;Кауфман;Тайса;осиновый кол
893|2023-11-19|69|6|1,7,9||Кауфман;НЕ_ЛИС;Тайса;Дед;Лиса;Фederal🐙;Асмодея;Rainbow;полинка эдельвейс 雨;Инопланетянка
893|2023-11-19|65|6|2,5,9||Инопланетянка;Rainbow;НЕ_ЛИС;Асмодея;Бант.;Тайса;осиновый кол;Фederal🐙;Кауфман;Дровосек
893|2023-11-19|64|4|1,5,6||полинка эдельвейс 雨;Деканат;Рождество;Rainbow;Фederal🐙;НЕ_ЛИС;Инопланетянка;Бант.;осиновый кол;Тайса
893|2023-11-11|62|4|3,7,1||Бант.;Чай;Rainbow;Лиса;полинка эдельвейс 雨;осиновый кол;Троцкист;Кауфман;Вельзевул;утренняя звезда
893|2023-11-11|60|3|5,6,1||Асмодея;fate;Дед;Лиса;полинка эдельвейс 雨;Бант.;Вельзевул;Кефтеме;НЕ_ЛИС;Чай
893|2023-11-11|59|3|1,4,8||Рождество;Оливка;Кауфман;Асмодея;Чай;Кефтеме;Дед;НЕ_ЛИС;Бант.;Лиса
893|2023-11-11|58|8|2,4,9||Rainbow;Бант.;полинка эдельвейс 雨;Рождество;НЕ_ЛИС;Асмодея;Кауфман;Кефтеме;Вельзевул;Реактив
893|2023-11-11|57|5|6,2,9||Реактив;Rainbow;Буханка;Лиса;полинка эдельвейс 雨;Рождество;Кефтеме;Асмодея;Дровосек;Кауфман
893|2023-10-29|55|4|6,7,9||Shitoff;fate;Сора;Мел;Косяк;Деканат;Вито Скаллета;Кефтеме;Троцкист;Чай
893|2023-10-29|52|6|3,9,1|0.25|полинка эдельвейс 雨;Асмодея;Кауфман;Рождество;Чай;Rainbow;fate;Лиса;Шмоки Мола;Амберман
893|2023-10-29|51|3|2,5,9||Шмоки Мола;Рождество;Лиса;НЕ_ЛИС;Кауфман;полинка эдельвейс 雨;fate;Амберман;Асмодея;Rainbow
893|2023-10-29|50|5|6,7,8||Шмоки Мола;Rainbow;Рождество;Лиса;Бант.;Кабан;Леди в шляпе;полинка эдельвейс 雨;Реактив;НЕ_ЛИС
893|2023-10-29|48|10|3,4,6||Лиса;Кауфман;НЕ_ЛИС;Рождество;Асмодея;Леди в шляпе;Деканат;Rainbow;полинка эдельвейс 雨;Бант.
893|2023-10-21|45|8|1,2,1|0.25|Деканат;Дед;Чай;fate;Шмоки Мола;утренняя звезда;Элизабет;полинка эдельвейс 雨;Rainbow;осиновый кол
893|2023-10-21|44|8|7,9,2||Клей;Шмоки Мола;утренняя звезда;Элизабет;Оливка;Деканат;Дед;Rainbow;осиновый кол;Чай
893|2023-10-21|40|6|3,4,9||Аффинаж;осиновый кол;Шамиль;Бант.;Кефтеме;Реактив;Лиса;полинка эдельвейс 雨;Косатка;Рождество
893|2023-10-21|39|3|4,5,7|0.25|Бант.;Лиса;Грейс;Деканат;НЕ_ЛИС;Клей;fate;Rainbow;Асмодея;Косатка
893|2023-10-21|38|3|2,6,9||осиновый кол;Кефтеме;Rainbow;Бант.;Асмодея;Деканат;Шамиль;Кауфман;Леди в шляпе;Рождество
893|2023-10-14|36|3|1,7,9||полинка эдельвейс 雨;Аффинаж;Бант.;НЕ_ЛИС;Деканат;Кауфман;Рождество;Асмодея;Оливка;Амберман
893|2023-10-14|35|1|2,5,1||Аффинаж;Инопланетянка;Деканат;Лиса;Тайса;Бант.;Кауфман;полинка эдельвейс 雨;НЕ_ЛИС;Рождество
893|2023-10-14|34|9|1,3,7|0.25|Рождество;утренняя звезда;Лиса;НЕ_ЛИС;Оливка;Инопланетянка;Аффинаж;Асмодея;Деканат;Кауфман
893|2023-10-14|33|4|3,6,9||Тайса;Бант.;Арт;Амберман;Рождество;Инопланетянка;Лиса;Асмодея;Деканат;полинка эдельвейс 雨
893|2023-10-14|32|2|6,8,1||Кауфман;Инопланетянка;Деканат;Асмодея;Ямага;полинка эдельвейс 雨;Лиса;НЕ_ЛИС;Рождество;Бант.
893|2023-10-07|31|6|1,3,9||Дед;НЕ_ЛИС;Бант.;Кауфман;Кефтеме;Rainbow;полинка эдельвейс 雨;Рождество;утренняя звезда;Асмодея
893|2023-10-07|30|4|1,7,9||Тайса;полинка эдельвейс 雨;Лиса;НЕ_ЛИС;Рождество;fate;Бант.;Асмодея;Дед;Кауфман
893|2023-10-07|29|4|2,5,6||Асмодея;Кауфман;Лиса;осиновый кол;НЕ_ЛИС;Rainbow;Бант.;Рождество;утренняя звезда;Тайса
893|2023-10-07|28|10|9,6,3|0.25|Дед;осиновый кол;Кауфман;Дровосек;полинка эдельвейс 雨;fate;Кефтеме;Асмодея;Лиса;Rainbow
893|2023-10-07|27|6|4,9,7||НЕ_ЛИС;Кауфман;fate;Дровосек;Бант.;полинка эдельвейс 雨;осиновый кол;Рождество;Rainbow;Лиса
893|2023-10-07|26|6|5,8,1||Rain;Ежик;НЕ_ЛИС;Кефтеме;Rainbow;Дровосек;Асмодея;Бант.;полинка эдельвейс 雨;fate
893|2023-10-07|25|1|4,7,1|0.25|fate;Асмодея;Рождество;осиновый кол;НЕ_ЛИС;Rainbow;Rain;Кефтеме;Дровосек;Бант.
893|2023-09-30|24|9|1||Реактив;Дед;Рождество;fate;Кауфман;Бант.;осиновый кол;Амберман;НЕ_ЛИС;Rainbow
893|2023-09-30|23|5|1,3,6|0.25|полинка эдельвейс 雨;Асмодея;Кауфман;Rainbow;Бант.;Инопланетянка;НЕ_ЛИС;fate;Реактив;осиновый кол
893|2023-09-30|22|10|3,4,5||Амберман;Асмодея;Реактив;Рождество;Инопланетянка;Мел;Дед;Rainbow;Черная вдова;Бант.
893|2023-09-30|21|8|9,6,4||fate;осиновый кол;Тайса;полинка эдельвейс 雨;Рождество;Кауфман;Шмоки Мола;НЕ_ЛИС;Мел;Бант.
893|2023-09-30|20|10|4,7,8||Rainbow;Кауфман;Асмодея;Репудж;Лиса;Апостол;осиновый кол;Дед;Шмоки Мола;Инопланетянка
893|2023-09-30|19|2|5,7,1||Инопланетянка;Асмодея;fate;Черная вдова;Рождество;Леди в шляпе;НЕ_ЛИС;Rainbow;Бант.;полинка эдельвейс 雨
893|2023-09-24|18|2|1,8,9||Rainbow;Реактив;Асмодея;Кауфман;fate;Дед;НЕ_ЛИС;Бант.;Шамиль;Оливка
893|2023-09-24|17|9|5,6,8||Черная вдова;Шамиль;Реактив;Репудж;Бант.;Рождество;полинка эдельвейс 雨;Кауфман;Асмодея;Шмоки Мола
893|2023-09-24|16|9|1,4,5||утренняя звезда;Чили;НЕ_ЛИС;Оливка;Шамиль;Rainbow;Асмодея;fate;Репудж;Шмоки Мола
893|2023-09-24|15|3|5,8,1||полинка эдельвейс 雨;Амберман;Ежик;НЕ_ЛИС;Rainbow;Черная вдова;Асмодея;Шамиль;Рождество;Бант.
893|2023-09-24|14|1|4,7,1||Асмодея;Шамиль;Косяк;Rainbow;Дед;НЕ_ЛИС;Рождество;Бант.;fate;Кауфман
893|2023-09-17|13|7|1,6,9||Rainbow;fate;Асмодея;Дед;Реактив;НЕ_ЛИС;Бант.;Тайса;полинка эдельвейс 雨;Кауфман
893|2023-09-17|12|5|3,4,7||полинка эдельвейс 雨;Реактив;Rainbow;fate;Бант.;НЕ_ЛИС;Рождество;осиновый кол;Асмодея;Оливка
893|2023-09-17|10|4|3,5,7||Тайса;Асмодея;Бант.;Дед;Rainbow;полинка эдельвейс 雨;осиновый кол;Рождество;НЕ_ЛИС;Кауфман
